2026-01-24 00:26:28,552 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.1% | held_candles=13
2026-01-24 00:27:28,727 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.1% | held_candles=13
2026-01-24 00:28:28,905 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.1% | held_candles=13
2026-01-24 00:29:29,075 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.1% | held_candles=13
2026-01-24 00:30:29,212 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.06% | held_candles=14
2026-01-24 00:31:29,357 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.06% | held_candles=14
2026-01-24 00:32:29,531 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.06% | held_candles=14
2026-01-24 00:33:29,715 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.06% | held_candles=14
2026-01-24 00:34:29,862 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.06% | held_candles=14
2026-01-24 00:35:29,987 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.19% | held_candles=15
2026-01-24 00:36:30,185 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.19% | held_candles=15
2026-01-24 00:37:30,354 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.19% | held_candles=15
2026-01-24 00:38:30,480 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.19% | held_candles=15
2026-01-24 00:39:30,637 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.19% | held_candles=15
2026-01-24 00:40:30,775 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.19% | held_candles=16
2026-01-24 00:41:30,963 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.19% | held_candles=16
2026-01-24 00:42:31,144 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.19% | held_candles=16
2026-01-24 00:43:31,324 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.19% | held_candles=16
2026-01-24 00:44:31,470 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.19% | held_candles=16
2026-01-24 00:45:31,608 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=17
2026-01-24 00:46:31,814 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=17
2026-01-24 00:47:31,978 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=17
2026-01-24 00:48:32,121 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=17
2026-01-24 00:49:32,303 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=17
2026-01-24 00:50:32,472 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=18
2026-01-24 00:51:32,632 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=18
2026-01-24 00:52:32,775 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=18
2026-01-24 00:53:32,967 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=18
2026-01-24 00:54:33,134 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.13% | held_candles=18
2026-01-24 00:55:33,311 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.09% | held_candles=19
2026-01-24 00:56:33,484 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.09% | held_candles=19
2026-01-24 00:57:33,665 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.09% | held_candles=19
2026-01-24 00:58:33,766 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.09% | held_candles=19
2026-01-24 00:59:33,957 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.09% | held_candles=19
