2026-02-02 04:51:54,186 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.56% | held_candles=16
2026-02-02 04:52:54,377 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.69% | held_candles=16
2026-02-02 04:53:54,592 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.69% | held_candles=16
2026-02-02 04:54:54,863 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.67% | held_candles=16
2026-02-02 04:55:55,053 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.56% | held_candles=17
2026-02-02 04:56:55,226 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.4% | held_candles=17
2026-02-02 04:57:55,468 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.22% | held_candles=17
2026-02-02 04:58:55,680 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.43% | held_candles=17
2026-02-02 04:59:55,870 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.34% | held_candles=17
2026-02-02 05:00:56,070 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.25% | held_candles=18
2026-02-02 05:01:56,284 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.26% | held_candles=18
2026-02-02 05:02:56,483 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.12% | held_candles=18
2026-02-02 05:03:02,171 | INFO | CLOSE LONG RESPONSE -> {'client_oid': '1770008581590', 'order_id': '713067675957330460'}
