time,symbol,tf,side,size,entry,exit,pnl_pct,open_order_id,close_order_id,reason,strat_id
2026-01-24 22:45:04.228234,cmt_solusdt,5m,LONG,7.5,127.26,,,710073452362465820,,OPEN,1
2026-01-25 03:20:02.357409,cmt_solusdt,5m,LONG,7.5,127.26,126.75,-0.4008,710073452362465820,710142652883927580,HARD_STOP,
2026-01-25 06:45:19.740135,cmt_dogeusdt,5m,LONG,7700.0,0.12321,,,710194313413263900,,OPEN,1
2026-01-25 07:15:07.878657,cmt_dogeusdt,5m,LONG,7700.0,0.12321,0.12274,-0.3815,710194313413263900,710201815823548956,HARD_STOP,
2026-01-25 07:45:09.483744,cmt_dogeusdt,5m,LONG,7700.0,0.12293,,,710209369878299164,,OPEN,1
2026-01-25 08:50:02.450071,cmt_dogeusdt,5m,LONG,7700.0,0.12293,0.12251,-0.3417,710209369878299164,710225700623221276,HARD_STOP,
2026-01-25 12:30:22.241941,cmt_solusdt,5m,LONG,7.4,126.69,,,710281124198220316,,OPEN,1
2026-01-25 13:07:01.204121,cmt_solusdt,5m,LONG,7.4,126.69,126.98,0.2289,710281124198220316,710290371543826972,SCORE,
2026-01-25 13:25:45.441841,cmt_solusdt,5m,LONG,7.4,126.78,,,710295084540625436,,OPEN,0
2026-01-25 14:20:02.428514,cmt_solusdt,5m,LONG,7.4,126.78,126.29,-0.3865,710295084540625436,710308747393630748,HARD_STOP,
2026-01-25 21:00:09.496321,cmt_solusdt,5m,LONG,7.9,118.23,,,710409438262985244,,OPEN,1
2026-01-25 21:40:02.495765,cmt_solusdt,5m,LONG,7.9,118.23,117.68,-0.4652,710409438262985244,710419477593850396,HARD_STOP,
2026-01-25 21:55:04.743543,cmt_dogeusdt,5m,LONG,7800.0,0.1193,,,710423259329331740,,OPEN,1
2026-01-25 22:20:02.360176,cmt_dogeusdt,5m,LONG,7800.0,0.1193,0.11893,-0.3101,710423259329331740,710429543353025052,HARD_STOP,
2026-01-26 00:45:09.430038,cmt_solusdt,5m,LONG,7.8,118.83,,,710466061006275100,,OPEN,1
2026-01-26 02:05:02.164201,cmt_solusdt,5m,LONG,7.8,118.83,121.83,2.5246,710466061006275100,710486163219022364,TRAIL,
2026-01-26 02:10:04.010479,cmt_dogeusdt,5m,LONG,7800.0,0.12183,,,710487429416485404,,OPEN,1
2026-01-26 02:30:02.487699,cmt_dogeusdt,5m,LONG,7800.0,0.12183,0.12243,0.4925,710487429416485404,710492455576797724,SCORE,
2026-01-26 05:10:04.130970,cmt_solusdt,5m,LONG,7.8,122.55,,,710532728285561372,,OPEN,1
2026-01-26 06:05:02.632289,cmt_solusdt,5m,LONG,7.8,122.55,122.15,-0.3264,710532728285561372,710546563151168028,HARD_STOP,
2026-01-26 06:10:04.081378,cmt_dogeusdt,5m,LONG,7800.0,0.12141,,,710547827389891100,,OPEN,1
2026-01-26 08:01:02.115286,cmt_dogeusdt,5m,LONG,7800.0,0.12141,0.12167,0.2142,710547827389891100,710575752789099036,SCORE,
2026-01-26 10:05:04.083346,cmt_solusdt,5m,LONG,7.8,122.21,,,710606967361503772,,OPEN,1
2026-01-26 10:37:01.642656,cmt_solusdt,5m,LONG,7.8,122.21,122.59,0.3109,710606967361503772,710615010006532636,SCORE,
2026-01-26 10:50:17.074414,cmt_solusdt,5m,LONG,7.8,122.39,,,710618346436952604,,OPEN,0
2026-01-26 12:06:02.391196,cmt_solusdt,5m,LONG,7.8,122.39,122.74,0.286,710618346436952604,710637410681094684,SCORE,
2026-01-26 12:10:04.667719,cmt_dogeusdt,5m,LONG,7900.0,0.12121,,,710638426939982364,,OPEN,1
2026-01-26 13:25:07.327603,cmt_dogeusdt,5m,LONG,7900.0,0.12121,0.1217,0.4043,710638426939982364,710657312624214556,SCORE,
2026-01-26 13:50:04.771304,cmt_solusdt,5m,LONG,7.8,122.86,,,710663593154052636,,OPEN,0
2026-01-26 14:06:01.546671,cmt_solusdt,5m,LONG,7.8,122.86,123.28,0.3419,710663593154052636,710667606230565404,SCORE,
2026-01-26 14:10:04.768546,cmt_dogeusdt,5m,LONG,7900.0,0.12148,,,710668626662785564,,OPEN,1
2026-01-26 14:35:07.777259,cmt_dogeusdt,5m,LONG,7900.0,0.12148,0.12201,0.4363,710668626662785564,710674930064163356,SCORE,
2026-01-26 14:40:10.479408,cmt_solusdt,5m,LONG,7.8,123.53,,,710676200132968988,,OPEN,1
2026-01-26 15:26:02.644216,cmt_solusdt,5m,LONG,7.8,123.53,124.37,0.68,710676200132968988,710687743113429532,SCORE,
2026-01-26 15:30:12.338938,cmt_dogeusdt,5m,LONG,7900.0,0.12298,,,710688790519218716,,OPEN,1
2026-01-26 15:40:02.636768,cmt_dogeusdt,5m,LONG,7900.0,0.12298,0.12255,-0.3497,710688790519218716,710691266702082588,HARD_STOP,
2026-01-26 16:00:07.142057,cmt_dogeusdt,5m,LONG,7900.0,0.12218,,,710696318510563868,,OPEN,1
2026-01-26 16:05:02.157369,cmt_dogeusdt,5m,LONG,7900.0,0.12218,0.12264,0.3765,710696318510563868,710697555784106524,SCORE,
2026-01-26 16:30:05.435031,cmt_dogeusdt,5m,LONG,7900.0,0.12266,,,710703861450408476,,OPEN,1
2026-01-26 16:40:02.485761,cmt_dogeusdt,5m,LONG,7900.0,0.12266,0.12221,-0.3669,710703861450408476,710706365596697116,HARD_STOP,
2026-01-26 17:00:05.764299,cmt_dogeusdt,5m,LONG,7900.0,0.12262,,,710711412493648412,,OPEN,1
2026-01-26 17:15:02.162927,cmt_dogeusdt,5m,LONG,7900.0,0.12262,0.12222,-0.3262,710711412493648412,710715172188062236,HARD_STOP,
2026-01-26 17:25:04.328371,cmt_solusdt,5m,LONG,7.8,123.31,,,710717697897267740,,OPEN,0
2026-01-26 17:40:02.667574,cmt_solusdt,5m,LONG,7.8,123.31,123.76,0.3649,710717697897267740,710721465690882588,SCORE,
2026-01-26 19:00:24.449315,cmt_solusdt,5m,LONG,7.7,124.85,,,710741689974653468,,OPEN,1
2026-01-26 19:20:02.303837,cmt_solusdt,5m,LONG,7.7,124.85,124.45,-0.3204,710741689974653468,710746629040243228,HARD_STOP,
2026-01-26 19:25:09.195813,cmt_dogeusdt,5m,LONG,7800.0,0.12252,,,710747917412991516,,OPEN,1
2026-01-26 20:20:02.884707,cmt_dogeusdt,5m,LONG,7800.0,0.12252,0.1221,-0.3428,710747917412991516,710761731973972508,HARD_STOP,
2026-01-26 20:35:15.201725,cmt_solusdt,5m,LONG,7.7,123.82,,,710765558676587036,,OPEN,0
2026-01-26 20:55:07.625817,cmt_solusdt,5m,LONG,7.7,123.82,123.41,-0.3311,710765558676587036,710770538175267356,HARD_STOP,
2026-01-26 21:05:11.061120,cmt_dogeusdt,5m,LONG,7800.0,0.12162,,,710773090920956444,,OPEN,1
2026-01-26 21:15:07.949765,cmt_dogeusdt,5m,LONG,7800.0,0.12162,0.12189,0.222,710773090920956444,710775572623524380,SCORE,
2026-01-26 21:20:05.600071,cmt_solusdt,5m,LONG,7.7,123.86,,,710776842805576220,,OPEN,1
2026-01-26 21:50:02.542334,cmt_solusdt,5m,LONG,7.7,123.86,124.5,0.5167,710776842805576220,710784379302969884,SCORE,
2026-01-26 22:15:06.658831,cmt_dogeusdt,5m,LONG,7800.0,0.1226,,,710790688530235932,,OPEN,1
2026-01-26 23:05:07.515602,cmt_dogeusdt,5m,LONG,7800.0,0.1226,0.12222,-0.31,710790688530235932,710803274923508252,HARD_STOP,
